* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
169.514095	61.382718
171.979734	61.352213
174.481237	61.283017
177.019125	61.230179
179.593928	61.164203
182.206182	61.128248
184.856431	61.101781
187.545230	61.071528
190.273138	61.029224
193.040725	61.002614
195.848567	60.985170
198.697250	60.967472
201.587368	60.949517
204.519524	60.937335
207.494329	60.926470
210.512403	60.915446
213.574377	60.904262
216.680888	60.892915
219.832584	60.881403
223.030122	60.883854
226.274170	60.891351
229.565404	60.898958
232.904509	60.906675
236.292183	60.914504
239.729132	60.922447
243.216073	60.930506
246.753732	60.938681
250.342848	60.947898
253.984168	60.963845
257.678453	60.980025
261.426473	60.996439
265.229008	61.013092
269.086853	61.030362
273.000811	61.047892
276.971700	61.065678
281.000346	61.086149
285.087590	61.121279
289.234284	61.152986
293.441294	61.171950
297.709496	61.191190
302.039780	61.210709
306.433050	61.246533
310.890221	61.287504
315.412224	61.317536
320.000000	61.348005
324.654507	61.372015
329.376716	61.395524
334.167610	61.419714
339.028190	61.461890
343.959469	61.494456
348.962474	61.513473
354.038251	61.532766
359.187855	61.552340
364.412363	61.592531
369.712863	61.627594
375.090460	61.646581
380.546277	61.665845
386.081450	61.685389
391.697134	61.723178
397.394500	61.759646
403.174736	61.773421
409.039048	61.787395
414.988657	61.801573
421.024807	61.815957
427.148753	61.827463
433.361775	61.834926
439.665167	61.842498
446.060244	61.850180
452.548340	61.857974
459.130807	61.865881
465.809019	61.873903
472.584367	61.882041
479.458265	61.890299
486.432146	61.885657
493.507464	61.877845
500.685695	61.869919
507.968337	61.861879
515.356906	61.853721
522.852945	61.845445
530.458016	61.837048
538.173706	61.828530
546.001623	61.817776
553.943399	61.804837
562.000691	61.791710
570.175180	61.778391
578.468569	61.764879
586.882588	61.746184
595.418991	61.719860
604.079560	61.693153
612.866100	61.671436
621.780442	61.650339
630.824447	61.628935
640.000000	61.593793
649.309014	61.552532
658.753431	61.529301
668.335221	61.505733
678.056380	61.476299
687.918938	61.423324
697.924949	61.380256
708.076501	61.341748
718.375711	61.311630
728.824726	61.277606
739.425726	61.209353
750.180921	61.156426
761.092554	61.088402
772.162900	61.054214
783.394268	61.023845
794.789000	60.944643
806.349472	60.891797
818.078095	60.838916
829.977315	60.796718
842.049613	60.766535
854.297507	60.718112
866.723550	60.654709
879.330334	60.619348
892.120489	60.598721
905.096680	60.584852
918.261614	60.570782
931.618037	60.556507
945.168733	60.542024
958.916529	60.565195
972.864291	60.593018
987.014928	60.621246
1001.371391	60.649884
1015.936673	60.687445
1030.713812	60.776535
1045.705890	60.865390
1060.916032	60.939866
1076.347412	61.010871
1092.003245	61.115392
1107.886798	61.221314
1124.001383	61.360859
