20.299999	8.100
20.600000	8.111
20.900000	8.121
21.200001	8.132
21.400000	8.138
21.799999	8.150
22.000000	8.156
22.400000	8.166
22.700001	8.172
23.000000	8.178
23.299999	8.183
23.600000	8.188
24.000000	8.191
24.299999	8.193
24.700001	8.196
25.000000	8.197
25.400000	8.198
25.799999	8.199
26.200001	8.199
26.500000	8.199
26.900000	8.199
27.200001	8.198
27.600000	8.198
28.000000	8.197
28.500000	8.195
29.000000	8.194
29.500000	8.192
30.000000	8.190
30.400000	8.187
30.700001	8.185
31.100000	8.181
31.500000	8.177
32.000000	8.170
32.500000	8.163
33.000000	8.156
33.500000	8.147
34.000000	8.135
34.500000	8.122
35.000000	8.109
35.500000	8.093
36.000000	8.075
36.500000	8.054
37.000000	8.034
37.500000	8.012
38.200001	7.981
38.700001	7.957
39.500000	7.920
40.000000	7.895
40.599998	7.861
41.200001	7.826
41.799999	7.790
42.500000	7.747
43.099998	7.706
43.700001	7.663
44.400002	7.613
45.000000	7.569
45.500000	7.529
46.200001	7.473
46.799999	7.424
47.500000	7.364
48.200001	7.302
48.700001	7.257
49.400002	7.194
50.000000	7.141
50.799999	7.072
51.500000	7.013
52.200001	6.954
53.000000	6.886
53.799999	6.815
54.500000	6.752
55.200001	6.689
56.000000	6.620
57.000000	6.543
58.000000	6.470
59.000000	6.396
60.000000	6.315
60.799999	6.240
61.500000	6.170
62.200001	6.099
63.000000	6.023
64.000000	5.935
65.000000	5.853
66.000000	5.772
67.000000	5.690
68.000000	5.607
69.000000	5.523
70.000000	5.439
71.000000	5.354
72.000000	5.269
73.000000	5.183
74.000000	5.098
75.000000	5.018
76.199997	4.930
77.500000	4.839
78.800003	4.749
80.000000	4.665
81.199997	4.582
82.500000	4.492
83.800003	4.402
85.000000	4.320
86.199997	4.237
87.500000	4.147
88.500000	4.078
90.000000	3.975
91.199997	3.892
92.500000	3.803
93.800003	3.713
95.000000	3.631
96.199997	3.549
97.500000	3.460
98.800003	3.372
100.000000	3.294
101.500000	3.204
103.000000	3.117
104.400002	3.037
106.000000	2.945
107.500000	2.860
109.000000	2.774
110.599998	2.682
112.000000	2.602
113.800003	2.499
115.000000	2.430
117.199997	2.305
118.000000	2.261
120.599998	2.130
122.000000	2.061
124.099998	1.958
125.000000	1.914
126.500000	1.840
128.000000	1.767
131.500000	1.599
132.000000	1.576
134.000000	1.488
136.000000	1.403
138.000000	1.319
140.000000	1.241
143.000000	1.136
145.000000	1.069
147.500000	0.986
150.000000	0.905
152.500000	0.824
155.000000	0.744
157.500000	0.665
160.000000	0.586
162.500000	0.509
165.000000	0.433
167.500000	0.357
170.000000	0.282
172.500000	0.210
175.000000	0.139
177.500000	0.068
180.000000	-0.001
182.500000	-0.068
185.000000	-0.134
187.500000	-0.199
190.000000	-0.262
192.500000	-0.322
195.000000	-0.381
197.500000	-0.438
200.000000	-0.491
203.000000	-0.548
206.000000	-0.600
209.000000	-0.650
212.000000	-0.698
214.000000	-0.729
218.000000	-0.786
220.000000	-0.814
224.000000	-0.868
227.000000	-0.905
230.000000	-0.939
233.000000	-0.972
236.000000	-1.002
240.000000	-1.036
243.000000	-1.058
247.000000	-1.087
250.000000	-1.106
254.000000	-1.128
258.000000	-1.147
262.000000	-1.165
265.000000	-1.177
269.000000	-1.191
272.000000	-1.199
276.000000	-1.210
280.000000	-1.219
285.000000	-1.226
290.000000	-1.231
295.000000	-1.235
300.000000	-1.238
304.000000	-1.239
307.000000	-1.239
311.000000	-1.239
315.000000	-1.238
320.000000	-1.235
325.000000	-1.231
330.000000	-1.227
335.000000	-1.222
340.000000	-1.217
345.000000	-1.211
350.000000	-1.204
355.000000	-1.197
360.000000	-1.189
365.000000	-1.181
370.000000	-1.173
375.000000	-1.165
382.000000	-1.154
387.000000	-1.147
395.000000	-1.134
400.000000	-1.126
406.000000	-1.116
412.000000	-1.106
418.000000	-1.095
425.000000	-1.083
431.000000	-1.072
437.000000	-1.061
444.000000	-1.047
450.000000	-1.035
455.000000	-1.025
462.000000	-1.010
468.000000	-0.997
475.000000	-0.982
482.000000	-0.967
487.000000	-0.955
494.000000	-0.939
500.000000	-0.925
508.000000	-0.908
515.000000	-0.893
522.000000	-0.878
530.000000	-0.860
538.000000	-0.842
545.000000	-0.825
552.000000	-0.809
560.000000	-0.791
570.000000	-0.770
580.000000	-0.750
590.000000	-0.729
600.000000	-0.707
608.000000	-0.686
615.000000	-0.665
622.000000	-0.645
630.000000	-0.622
640.000000	-0.596
650.000000	-0.571
660.000000	-0.546
670.000000	-0.521
680.000000	-0.494
690.000000	-0.467
700.000000	-0.439
710.000000	-0.411
720.000000	-0.382
730.000000	-0.352
740.000000	-0.322
750.000000	-0.294
762.000000	-0.262
775.000000	-0.228
788.000000	-0.194
800.000000	-0.163
812.000000	-0.130
825.000000	-0.094
838.000000	-0.058
850.000000	-0.024
862.000000	0.011
875.000000	0.050
885.000000	0.080
900.000000	0.127
912.000000	0.165
925.000000	0.208
938.000000	0.252
950.000000	0.293
962.000000	0.337
975.000000	0.385
988.000000	0.434
1000.000000	0.479
1015.000000	0.534
1030.000000	0.589
1044.000000	0.640
1060.000000	0.701
1075.000000	0.762
1090.000000	0.826
1106.000000	0.895
1120.000000	0.958
1138.000000	1.045
1150.000000	1.105
1172.000000	1.217
1180.000000	1.257
1206.000000	1.389
1220.000000	1.460
1241.000000	1.568
1250.000000	1.617
1265.000000	1.702
1280.000000	1.789
1315.000000	1.995
1320.000000	2.025
1340.000000	2.142
1360.000000	2.260
