* Measurement data measured by REW V5.31.3
* Source: /Users/klydeanzai/Downloads/Banzai Preference.txt
* Format: Comma/Tab/Space delimited data
* Dated: Nov 15, 2024 3:34:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/klydeanzai/Downloads/Banzai Preference.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,186 Hz log spaced
* Measurement: Banzai Preference
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	5.694
20.299999	5.694
20.600000	5.694
20.900000	5.694
21.200001	5.694
21.400000	5.695
21.799999	5.695
22.000000	5.695
22.400000	5.695
22.700001	5.695
23.000000	5.695
23.299999	5.695
23.600000	5.695
24.000000	5.695
24.299999	5.695
24.700001	5.694
25.000000	5.694
25.400000	5.693
25.799999	5.693
26.200001	5.692
26.500000	5.691
26.900000	5.690
27.200001	5.689
27.600000	5.688
28.000000	5.686
28.500000	5.684
29.000000	5.682
29.500000	5.679
30.000000	5.677
30.400000	5.674
30.700001	5.672
31.100000	5.670
31.500000	5.667
32.000000	5.664
32.500000	5.660
33.000000	5.656
33.500000	5.652
34.000000	5.648
34.500000	5.643
35.000000	5.638
35.500000	5.634
36.000000	5.629
36.500000	5.624
37.000000	5.618
37.500000	5.613
38.200001	5.605
38.700001	5.599
39.500000	5.590
40.000000	5.584
40.599998	5.576
41.200001	5.569
41.799999	5.561
42.500000	5.552
43.099998	5.544
43.700001	5.535
44.400002	5.526
45.000000	5.517
45.500000	5.510
46.200001	5.499
46.799999	5.490
47.500000	5.480
48.200001	5.469
48.700001	5.461
49.400002	5.450
50.000000	5.440
50.799999	5.427
51.500000	5.416
52.200001	5.404
53.000000	5.390
53.799999	5.376
54.500000	5.364
55.200001	5.352
56.000000	5.337
57.000000	5.319
58.000000	5.301
59.000000	5.282
60.000000	5.263
60.799999	5.248
61.500000	5.234
62.200001	5.221
63.000000	5.205
64.000000	5.185
65.000000	5.165
66.000000	5.144
67.000000	5.124
68.000000	5.103
69.000000	5.082
70.000000	5.061
71.000000	5.040
72.000000	5.018
73.000000	4.996
74.000000	4.974
75.000000	4.952
76.199997	4.926
77.500000	4.897
78.800003	4.867
80.000000	4.840
81.199997	4.812
82.500000	4.782
83.800003	4.752
85.000000	4.724
86.199997	4.696
87.500000	4.665
88.500000	4.641
90.000000	4.605
91.199997	4.576
92.500000	4.545
93.800003	4.513
95.000000	4.484
96.199997	4.454
97.500000	4.422
98.800003	4.390
100.000000	4.360
101.500000	4.323
103.000000	4.286
104.400002	4.251
106.000000	4.211
107.500000	4.173
109.000000	4.135
110.599998	4.095
112.000000	4.060
113.800003	4.014
115.000000	3.984
117.199997	3.928
118.000000	3.908
120.599998	3.842
122.000000	3.807
124.099998	3.754
125.000000	3.731
126.500000	3.693
128.000000	3.655
131.500000	3.567
132.000000	3.555
134.000000	3.504
136.000000	3.454
138.000000	3.404
140.000000	3.355
143.000000	3.280
145.000000	3.231
147.500000	3.170
150.000000	3.109
152.500000	3.048
155.000000	2.988
157.500000	2.928
160.000000	2.869
162.500000	2.810
165.000000	2.751
167.500000	2.693
170.000000	2.636
172.500000	2.578
175.000000	2.522
177.500000	2.466
180.000000	2.411
182.500000	2.356
185.000000	2.301
187.500000	2.248
190.000000	2.194
192.500000	2.142
195.000000	2.090
197.500000	2.038
200.000000	1.988
203.000000	1.928
206.000000	1.869
209.000000	1.810
212.000000	1.753
214.000000	1.716
218.000000	1.641
220.000000	1.605
224.000000	1.534
227.000000	1.481
230.000000	1.430
233.000000	1.379
236.000000	1.329
240.000000	1.265
243.000000	1.217
247.000000	1.155
250.000000	1.110
254.000000	1.051
258.000000	0.993
262.000000	0.937
265.000000	0.896
269.000000	0.843
272.000000	0.804
276.000000	0.753
280.000000	0.703
285.000000	0.642
290.000000	0.583
295.000000	0.526
300.000000	0.469
304.000000	0.425
307.000000	0.393
311.000000	0.350
315.000000	0.308
320.000000	0.256
325.000000	0.205
330.000000	0.154
335.000000	0.104
340.000000	0.055
345.000000	0.005
350.000000	-0.044
355.000000	-0.093
360.000000	-0.142
365.000000	-0.190
370.000000	-0.239
375.000000	-0.287
382.000000	-0.354
387.000000	-0.402
395.000000	-0.478
400.000000	-0.525
406.000000	-0.581
412.000000	-0.636
418.000000	-0.690
425.000000	-0.752
431.000000	-0.805
437.000000	-0.856
444.000000	-0.914
450.000000	-0.963
455.000000	-1.003
462.000000	-1.057
468.000000	-1.102
475.000000	-1.152
482.000000	-1.201
487.000000	-1.234
494.000000	-1.280
500.000000	-1.317
508.000000	-1.365
515.000000	-1.405
522.000000	-1.443
530.000000	-1.484
538.000000	-1.523
545.000000	-1.555
552.000000	-1.585
560.000000	-1.618
570.000000	-1.657
580.000000	-1.692
590.000000	-1.725
600.000000	-1.755
608.000000	-1.778
615.000000	-1.796
622.000000	-1.814
630.000000	-1.832
640.000000	-1.854
650.000000	-1.873
660.000000	-1.892
670.000000	-1.908
680.000000	-1.923
690.000000	-1.938
700.000000	-1.951
710.000000	-1.963
720.000000	-1.974
730.000000	-1.985
740.000000	-1.996
750.000000	-2.006
762.000000	-2.017
775.000000	-2.030
788.000000	-2.042
800.000000	-2.054
812.000000	-2.065
825.000000	-2.078
838.000000	-2.091
850.000000	-2.103
862.000000	-2.115
875.000000	-2.128
885.000000	-2.137
900.000000	-2.151
912.000000	-2.161
925.000000	-2.170
938.000000	-2.177
950.000000	-2.182
962.000000	-2.185
975.000000	-2.185
988.000000	-2.182
1000.000000	-2.176
1015.000000	-2.163
1030.000000	-2.144
1044.000000	-2.120
1060.000000	-2.087
1075.000000	-2.049
1090.000000	-2.004
1106.000000	-1.948
1120.000000	-1.894
1138.000000	-1.817
1150.000000	-1.760
1172.000000	-1.649
1180.000000	-1.606
1206.000000	-1.459
1220.000000	-1.375
1241.000000	-1.245
1250.000000	-1.189
1265.000000	-1.093
1280.000000	-0.995
1315.000000	-0.766
1320.000000	-0.733
1340.000000	-0.602
1360.000000	-0.471
1380.000000	-0.341
1400.000000	-0.212
1430.000000	-0.022
1450.000000	0.103
1475.000000	0.258
1500.000000	0.410
1525.000000	0.561
1550.000000	0.710
1575.000000	0.857
1600.000000	1.003
1625.000000	1.149
1650.000000	1.293
1675.000000	1.436
1700.000000	1.578
1725.000000	1.718
1750.000000	1.858
1775.000000	1.996
1800.000000	2.133
